phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
3_4_clausal_P_marker	sov	gn	erg-abs	8	800	0.971250	0.021250	0.950611
3_4_clausal_P_marker	sov	gn	nom-acc	8	800	1.000000	0.000000	1.000000
3_4_clausal_P_marker	sov	ng	erg-abs	8	800	0.878750	0.142500	0.753528
3_4_clausal_P_marker	sov	ng	nom-acc	8	800	1.000000	0.750000	0.250000
3_4_clausal_P_marker	svo	gn	erg-abs	8	800	0.987500	0.017500	0.970219
3_4_clausal_P_marker	svo	gn	nom-acc	8	800	1.000000	0.000000	1.000000
3_4_clausal_P_marker	svo	ng	erg-abs	8	800	0.927500	0.017500	0.911269
3_4_clausal_P_marker	svo	ng	nom-acc	8	800	1.000000	0.000000	1.000000
3_4_clausal_P_marker	vos	gn	erg-abs	8	800	0.990000	0.142500	0.848925
3_4_clausal_P_marker	vos	gn	nom-acc	8	800	1.000000	0.750000	0.250000
3_4_clausal_P_marker	vos	ng	erg-abs	8	800	0.940000	0.021250	0.920025
3_4_clausal_P_marker	vos	ng	nom-acc	8	800	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	sov	gn	erg-abs	8	800	1.000000	0.003750	0.996250
3_5_clausal_comp_V_order	sov	gn	nom-acc	8	800	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	sov	ng	erg-abs	8	800	1.000000	0.003750	0.996250
3_5_clausal_comp_V_order	sov	ng	nom-acc	8	800	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	svo	gn	erg-abs	8	800	1.000000	0.005000	0.995000
3_5_clausal_comp_V_order	svo	gn	nom-acc	8	800	1.000000	0.002500	0.997500
3_5_clausal_comp_V_order	svo	ng	erg-abs	8	800	1.000000	0.005000	0.995000
3_5_clausal_comp_V_order	svo	ng	nom-acc	8	800	1.000000	0.002500	0.997500
3_5_clausal_comp_V_order	vos	gn	erg-abs	8	800	1.000000	0.003750	0.996250
3_5_clausal_comp_V_order	vos	gn	nom-acc	8	800	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	vos	ng	erg-abs	8	800	1.000000	0.003750	0.996250
3_5_clausal_comp_V_order	vos	ng	nom-acc	8	800	0.998750	0.000000	0.998750
3_6_clausal_CV_valency	sov	gn	erg-abs	8	800	0.766250	0.780000	0.168575
3_6_clausal_CV_valency	sov	gn	nom-acc	8	800	0.762500	0.750000	0.190625
3_6_clausal_CV_valency	sov	ng	erg-abs	8	800	0.765000	0.780000	0.168300
3_6_clausal_CV_valency	sov	ng	nom-acc	8	800	0.758750	0.750000	0.189688
3_6_clausal_CV_valency	svo	gn	erg-abs	8	800	0.757500	0.771250	0.173278
3_6_clausal_CV_valency	svo	gn	nom-acc	8	800	0.771250	0.750000	0.192812
3_6_clausal_CV_valency	svo	ng	erg-abs	8	800	0.733750	0.771250	0.167845
3_6_clausal_CV_valency	svo	ng	nom-acc	8	800	0.766250	0.750000	0.191562
3_6_clausal_CV_valency	vos	gn	erg-abs	8	800	0.722500	0.780000	0.158950
3_6_clausal_CV_valency	vos	gn	nom-acc	8	800	0.718750	0.750000	0.179688
3_6_clausal_CV_valency	vos	ng	erg-abs	8	800	0.720000	0.780000	0.158400
3_6_clausal_CV_valency	vos	ng	nom-acc	8	800	0.728750	0.750000	0.182188
4_1_anc_V_form	sov	gn	erg-abs	8	800	0.926250	0.178750	0.760683
4_1_anc_V_form	sov	gn	nom-acc	8	800	0.976250	0.100000	0.878625
4_1_anc_V_form	sov	ng	erg-abs	8	800	0.921250	0.150000	0.783062
4_1_anc_V_form	sov	ng	nom-acc	8	800	0.972500	0.100000	0.875250
4_1_anc_V_form	svo	gn	erg-abs	8	800	0.861250	0.130000	0.749287
4_1_anc_V_form	svo	gn	nom-acc	8	800	0.962500	0.100000	0.866250
4_1_anc_V_form	svo	ng	erg-abs	8	800	0.886250	0.122500	0.777684
4_1_anc_V_form	svo	ng	nom-acc	8	800	0.985000	0.100000	0.886500
4_1_anc_V_form	vos	gn	erg-abs	8	800	0.938750	0.150000	0.797937
4_1_anc_V_form	vos	gn	nom-acc	8	800	0.985000	0.100000	0.886500
4_1_anc_V_form	vos	ng	erg-abs	8	800	0.943750	0.178750	0.775055
4_1_anc_V_form	vos	ng	nom-acc	8	800	0.991250	0.100000	0.892125
4_2_anc_S_marker	sov	gn	erg-abs	8	800	0.792500	0.560000	0.348700
4_2_anc_S_marker	sov	gn	nom-acc	8	800	0.807500	0.090000	0.734825
4_2_anc_S_marker	sov	ng	erg-abs	8	800	0.806250	0.257500	0.598641
4_2_anc_S_marker	sov	ng	nom-acc	8	800	0.787500	0.257500	0.584719
4_2_anc_S_marker	svo	gn	erg-abs	8	800	0.768750	0.446250	0.425695
4_2_anc_S_marker	svo	gn	nom-acc	8	800	0.793750	0.090000	0.722313
