phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_1_intran_V_form	65_vos_gn_ac_b_pa	vos	gn	nom-acc	balancing	poss-acc	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	66_vos_gn_ac_b_ep	vos	gn	nom-acc	balancing	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	67_vos_gn_ac_b_no	vos	gn	nom-acc	balancing	nomn	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	68_vos_gn_ac_d_se	vos	gn	nom-acc	deranking	sent	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	69_vos_gn_ac_d_pa	vos	gn	nom-acc	deranking	poss-acc	svo				1	100	0.980000	0.000000	0.980000
1_1_intran_V_form	70_vos_gn_ac_d_ep	vos	gn	nom-acc	deranking	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	71_vos_gn_ac_d_no	vos	gn	nom-acc	deranking	nomn	svo				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	72_vos_gn_er_b_se	vos	gn	erg-abs	balancing	sent	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	73_vos_gn_er_b_pa	vos	gn	erg-abs	balancing	poss-acc	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	74_vos_gn_er_b_ep	vos	gn	erg-abs	balancing	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	75_vos_gn_er_b_no	vos	gn	erg-abs	balancing	nomn	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	76_vos_gn_er_d_se	vos	gn	erg-abs	deranking	sent	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	77_vos_gn_er_d_pa	vos	gn	erg-abs	deranking	poss-acc	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	78_vos_gn_er_d_ep	vos	gn	erg-abs	deranking	erg-poss	sov				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	79_vos_gn_er_d_no	vos	gn	erg-abs	deranking	nomn	svo				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	80_vos_ng_ac_b_se	vos	ng	nom-acc	balancing	sent	vos				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	81_vos_ng_ac_b_pa	vos	ng	nom-acc	balancing	poss-acc	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	82_vos_ng_ac_b_ep	vos	ng	nom-acc	balancing	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	83_vos_ng_ac_b_no	vos	ng	nom-acc	balancing	nomn	vos				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	84_vos_ng_ac_d_se	vos	ng	nom-acc	deranking	sent	vos				1	100	0.970000	0.000000	0.970000
1_1_intran_V_form	85_vos_ng_ac_d_pa	vos	ng	nom-acc	deranking	poss-acc	vos				1	100	0.990000	0.000000	0.990000
1_1_intran_V_form	86_vos_ng_ac_d_ep	vos	ng	nom-acc	deranking	erg-poss	vos				1	100	0.960000	0.000000	0.960000
1_1_intran_V_form	87_vos_ng_ac_d_no	vos	ng	nom-acc	deranking	nomn	vos				1	100	0.970000	0.000000	0.970000
1_1_intran_V_form	88_vos_ng_er_b_se	vos	ng	erg-abs	balancing	sent	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	89_vos_ng_er_b_pa	vos	ng	erg-abs	balancing	poss-acc	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	90_vos_ng_er_b_ep	vos	ng	erg-abs	balancing	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	91_vos_ng_er_b_no	vos	ng	erg-abs	balancing	nomn	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	92_vos_ng_er_d_se	vos	ng	erg-abs	deranking	sent	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	93_vos_ng_er_d_pa	vos	ng	erg-abs	deranking	poss-acc	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	94_vos_ng_er_d_ep	vos	ng	erg-abs	deranking	erg-poss	vos				1	100	1.000000	0.000000	1.000000
1_1_intran_V_form	95_vos_ng_er_d_no	vos	ng	erg-abs	deranking	nomn	vos				1	100	1.000000	0.000000	1.000000
1_2_intran_S_marker	00_sov_gn_ac_b_se	sov	gn	nom-acc	balancing	sent	sov				1	100	0.840000	0.040000	0.806400
1_2_intran_S_marker	01_sov_gn_ac_b_pa	sov	gn	nom-acc	balancing	poss-acc	sov				1	100	0.770000	0.040000	0.739200
