model_id	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_unique_sentences_per_id	mean_own_sentence_group_size	mean_max_languages_count	mean_max_unique_sentences_count
85_vos_ng_ac_d_pa	vos	ng	nom-acc	deranking	poss-acc	vos	0.9952964620238678	2.692865253510823e-05	0.9964543940828774	0.9959707356020875	1.0391138678072447	6.77561700275121	17.5372580348367	17.53584428057861	1.0
86_vos_ng_ac_d_ep	vos	ng	nom-acc	deranking	erg-poss	vos	0.9956465345068242	0.00028723896037448777	0.9966069897805764	0.996211969132124	1.0397287387067964	6.77561700275121	17.520885414095353	17.523255135518443	1.0
87_vos_ng_ac_d_no	vos	ng	nom-acc	deranking	nomn	vos	0.9955926772017539	4.0392978802662344e-05	0.996710216281961	0.99622313563213	1.0376058632652787	6.77561700275121	17.526428228408832	17.527357266921292	1.0
88_vos_ng_er_b_se	vos	ng	erg-abs	balancing	sent	vos	0.9944841143390587	8.976217511702743e-06	0.9964813227354126	0.9954592300421491	1.0388266288468702	6.77561700275121	17.52868125900427	17.527083492287186	1.0
89_vos_ng_er_b_pa	vos	ng	erg-abs	balancing	poss-acc	vos	0.9949912706284698	2.2440543779256858e-05	0.9976976002082483	0.9960679947327047	1.0302543411231941	6.77561700275121	17.537186225096608	17.527114909048475	1.0
90_vos_ng_er_b_ep	vos	ng	erg-abs	balancing	erg-poss	vos	0.9972173725713721	0.0003321200479330015	0.9979848391686227	0.9976156833755275	1.02222062645022	6.77561700275121	17.52081360435526	17.522797348425346	1.0
91_vos_ng_er_b_no	vos	ng	erg-abs	balancing	nomn	vos	0.9969301336109977	4.4881087558513716e-05	0.9980880656700073	0.9974724961973899	1.0226559729995377	6.77561700275121	17.526356418668737	17.5267872771093	1.0
92_vos_ng_er_d_se	vos	ng	erg-abs	deranking	sent	vos	0.9966294303243556	8.976217511702743e-06	0.9977514575133185	0.9971841462220453	1.0261073286327875	6.77561700275121	17.52868125900427	17.529430773166496	1.0
93_vos_ng_er_d_pa	vos	ng	erg-abs	deranking	poss-acc	vos	0.9953996885252523	2.2440543779256858e-05	0.9979803510598669	0.9963776858705246	1.0274358088245195	6.77561700275121	17.537186225096608	17.528241424346195	1.0
94_vos_ng_er_d_ep	vos	ng	erg-abs	deranking	erg-poss	vos	0.9972846942027099	0.00030967950415374467	0.998070113234984	0.9976708716285573	1.0214127668741668	6.77561700275121	17.52081360435526	17.522981360884337	1.0
95_vos_ng_er_d_no	vos	ng	erg-abs	deranking	nomn	vos	0.9970827293086966	3.590487004681097e-05	0.9982900305640207	0.9975909437430271	1.0204612878179264	6.77561700275121	17.526356418668737	17.526836646305615	1.0
