model_id	subset	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_n_unique_sentences	mean_own_sentence_group_size	mean_max_languages_count	mean_score_gap	mean_score_gap_when_wrong
29_sov_ng_er_d_pa	all	sov	ng	erg-abs	deranking	poss-acc	ovs	0.9938333385694602	2.2440543779256858e-05	0.995861963727105	0.994784120256675	1.0537406142425643	6.77561700275121	24.506788264493224	24.490895871388755	0.001740248722594486	0.2822027351746725
29_sov_ng_er_d_pa	anc	sov	ng	erg-abs	deranking	poss-acc	ovs	0.9356104315716594	0.0005769674590353104	0.9755365797369029	0.9497870941345488	1.369951534733441	10.537387491345488	15.19524578813755	14.971267020540042	0.024116406003923382	0.3745390222759857
29_sov_ng_er_d_pa	non_anc	sov	ng	erg-abs	deranking	poss-acc	ovs	0.9961894977702024	0	0.9966844894814262	0.9966050557367204	1.040944220037825	6.623386023488758	24.88360690186556	24.876135328865956	0.0008347324649186299	0.2190610094362745
30_sov_ng_er_d_ep	all	sov	ng	erg-abs	deranking	erg-poss	vos	0.9948790679095736	0.00021094111152501448	0.9959562140109779	0.9955277399725777	1.0505405926996423	6.77561700275121	24.490658001624695	24.48296987132592	0.0012542330572996845	0.24492280607361963
30_sov_ng_er_d_ep	anc	sov	ng	erg-abs	deranking	erg-poss	vos	0.960996999769213	0.005423494114931918	0.9770366951303946	0.9677557268589891	1.2779829217632126	10.537387491345488	14.780521578582968	14.813639510731594	0.012535263128317563	0.32139227890532546
30_sov_ng_er_d_ep	non_anc	sov	ng	erg-abs	deranking	erg-poss	vos	0.9962502043008242	0	0.9967218473464241	0.9966516152236569	1.041336477620304	6.623386023488758	24.88360690186556	24.874267435616055	0.0007977133785986131	0.2127351574844334
31_sov_ng_er_d_no	all	sov	ng	erg-abs	deranking	nomn	ovs	0.9951034733473662	4.936919631436509e-05	0.9963915605602955	0.9957896380687219	1.0446701464469887	6.77561700275121	24.495967434282868	24.48897944895001	0.0012121882806055357	0.24756084600366635
31_sov_ng_er_d_no	anc	sov	ng	erg-abs	deranking	nomn	ovs	0.9620355411954766	0.001269328409877683	0.9826909762289406	0.9699463695338103	1.2281329333025617	10.537387491345488	14.917032079390722	14.885068082160165	0.010885490263097162	0.2867284456534955
31_sov_ng_er_d_no	non_anc	sov	ng	erg-abs	deranking	nomn	ovs	0.996441663358939	0	0.9969459945364122	0.9968354610630648	1.0372457914030213	6.623386023488758	24.88360690186556	24.877629643465877	0.000820729993088795	0.2306499007480315
32_svo_gn_ac_b_se	all	svo	gn	nom-acc	balancing	sent	svo	0.9956555107243359	8.976217511702743e-06	0.9965262038229711	0.9962809971972658	1.042219639066294	6.77561700275121	24.497452998281055	24.496586793291176	0.0014622352966864292	0.3365724263326446
32_svo_gn_ac_b_se	anc	svo	gn	nom-acc	balancing	sent	svo	0.9150703900300023	0.00023078698361412417	0.9365335795061158	0.929004982411724	1.6497807523655665	10.537387491345488	14.95522732517886	15.099123009462266	0.02800741132587122	0.32977204694293477
32_svo_gn_ac_b_se	non_anc	svo	gn	nom-acc	balancing	sent	svo	0.9989166219150576	0	0.9989539797800556	0.999003516724369	1.0176329122790633	6.623386023488758	24.88360690186556	24.876882486165915	0.000388007574960891	0.35814604370689657
33_svo_gn_ac_b_pa	all	svo	gn	nom-acc	balancing	poss-acc	svo	0.9982945186727765	2.2440543779256858e-05	0.9987837225271643	0.9985587531321165	1.0208562413884412	6.77561700275121	24.50678377638447	24.49817109568199	0.0006104710437994533	0.3579464835263158
33_svo_gn_ac_b_pa	anc	svo	gn	nom-acc	balancing	poss-acc	svo	0.9836141241633972	0.0005769674590353104	0.9952688668359104	0.9882120947830603	1.0894299561504732	10.537387491345488	15.195130394645743	15.13985691207016	0.005019011158550657	0.3063010612676056
33_svo_gn_ac_b_pa	non_anc	svo	gn	nom-acc	balancing	poss-acc	svo	0.998888603516309	0	0.9989259613813071	0.9989774607426276	1.0180812066590395	6.623386023488758	24.88360690186556	24.876882486165915	0.00043206665128767895	0.38876013882352944
34_svo_gn_ac_b_ep	all	svo	gn	nom-acc	balancing	erg-poss	sov	0.9985638051981276	0.00034109626544470424	0.9988375798322345	0.9987267404404181	1.0195457136317327	6.77561700275121	24.49065351351594	24.48375080224944	0.0005762457661874863	0.40123092315625
34_svo_gn_ac_b_ep	anc	svo	gn	nom-acc	balancing	erg-poss	sov	0.9897299792291715	0.008769905377336719	0.9959612277867528	0.9918198405769675	1.0626586660512347	10.537387491345488	14.780406185091161	14.789406877452112	0.004810010430417724	0.4683544987640449
